epoch,train_loss,validation_loss,mAP50
1,7.983314391544887,917.227392578125,0.03956876390249807
2,7.175638920920235,10.064739990234376,0.0
3,6.630662209647042,27.66864229440689,0.0
4,6.130455262320382,10.674985218048096,0.0
5,5.555071680886405,9.43700876235962,0.0
6,5.067198875972203,5.471762663977486,0.552871170228893
7,4.905752958570208,5.749594858714512,0.6507818446238092
8,4.899451848438808,5.556032865388053,0.5232030378487289
9,4.597659696851458,5.154606914520263,0.6465756091044174
10,4.5301454067230225,4.493330131258284,0.6308656331218118
11,4.473925931113107,4.8825973102024625,0.602905251201896
12,4.235140759604318,5.247939644541059,0.3193407747968959
13,4.227449028832572,4.863702607154846,0.5794353985310445
14,4.088463701520648,4.415375460897173,0.7864449813671458
15,4.031876904623849,4.4915267842156545,0.7618136209298294
16,3.9983809062412807,4.622766835348947,0.673491817973064
17,3.9802242619650703,4.512327691486903,0.5612402041386276
18,3.7853480543409077,4.548596998623439,0.854729600182859
19,3.749881458282471,4.081180628708431,0.7809759945056816
20,3.728298030580793,3.8891564454351153,0.8322158411418262
21,3.5717366967882427,4.60556971005031,0.3818759547250055
22,3.5024803502219064,4.00991348198482,0.7419937261244549
23,3.6104260444641114,4.355189337049212,0.6752844645731532
24,3.5009679658072335,4.140615010261536,0.8026408233846134
25,3.4362405368259976,4.0895967245101925,0.63467557481642
26,3.3868129662105013,4.400983646937779,0.8189110801458042
27,3.3710366521562847,4.27864534514291,0.7203101151861188
28,3.174419055666242,4.4690076351165775,0.7184662576434617
29,3.270001425061907,5.194554393632071,0.34870207095802047
30,3.3006931577410015,3.9279444524220057,0.7728744757815204
31,3.2478529725755965,4.4748668295996525,0.6235792801831027
32,3.2484874997820175,4.148022893496922,0.8053598335206131
33,3.1984933308192662,3.9136927451406205,0.8245825046465928
34,3.2645903859819683,4.200358445303781,0.8106985318720061
35,3.004678337914603,4.320616562025887,0.5627567027134422
36,3.1180252007075717,4.024813037259238,0.824249264268228
37,3.076581389563424,3.9968407137053354,0.8258354170521558
38,2.9481174332754954,4.175040228026254,0.7164455889296988
39,2.923368331364223,3.8501176118850706,0.8561938310239885
40,2.9037887505122595,3.8616745557103838,0.8408075332593331
41,2.8846242564065117,4.006515908241272,0.7672070406547218
42,2.841788101196289,3.7678229331970217,0.8466420072678031
43,2.861098439352853,4.319891652039119,0.8325554951997971
44,2.8120940208435057,4.039244832311358,0.8027992267956436
45,2.8079285212925504,3.8432741011892047,0.8178009231861758
46,2.715337746483939,3.6794553211757113,0.7966273222687574
47,2.7112401826041084,5.090702056884766,0.6995498041090795
48,2.7867710181644987,3.8582219294139315,0.9115952329926019
49,2.8212531089782713,4.123520655291421,0.8198817951497989
50,2.704119600568499,4.1052859323365345,0.8853988520312359
51,2.8092568942478726,3.9664803879601616,0.8462652443966971
52,2.7346214771270754,4.421445005280631,0.83591989456486
53,2.7610862527574813,3.8605308992522103,0.8116063878134663
54,2.6457236017499652,4.060629224777221,0.8555001100635301
55,2.5452820301055907,4.365105240685599,0.8362607665675974
56,2.581700427191598,4.106657665116447,0.8448586999997292
57,2.5697103568485806,3.8161215390477863,0.8136358066560814
58,2.5548467704227993,4.472698945658547,0.7021216972173625
59,2.4507279191698346,3.965429949760437,0.8852788125318586
60,2.429317106519427,4.157298839092254,0.8297484238617621
