file,n_frames,hand_frames,adult_frames,max_ratio,mean_ratio,edge_frac,max_motion,pred,err
2026-07-09_20-29-15.mp4,12,0,0,0.0,0.0,0.0,17.536489486694336,0,
2026-07-25_04-15-14.mp4,12,0,0,0.0,0.0,0.0,26.988664627075195,0,
2026-07-06_06-08-02.mp4,12,2,2,0.1895385224892771,0.181468377664019,0.0,66.72876739501953,1,
2026-07-01_07-02-05.mp4,12,0,0,0.0,0.0,0.0,78.20732116699219,0,
2026-07-13_07-21-30.mp4,12,3,3,0.4645219935803737,0.44256563706976926,0.0,54.125980377197266,1,
2026-07-01_11-15-35.mp4,12,1,1,0.43157641363713245,0.43157641363713245,0.0,55.33219909667969,1,
2026-07-06_02-54-58.mp4,12,0,0,0.0,0.0,0.0,131.42987060546875,0,
2026-07-20_04-55-27.mp4,12,7,7,0.45674649607507767,0.401281341932772,0.0,14.69273853302002,1,
2026-07-21_01-35-08.mp4,12,1,1,0.20423195135117808,0.20423195135117808,0.0,94.10067749023438,1,
2026-06-30_16-10-44.mp4,12,0,0,0.0,0.0,0.0,47.29132843017578,0,
2026-07-09_18-59-04.mp4,12,2,2,0.26136804831744803,0.21568815484714007,0.0,127.63734436035156,1,
2026-07-13_07-23-21.mp4,12,0,0,0.0,0.0,0.0,63.77172088623047,0,
2026-07-25_20-25-58.mp4,12,0,0,0.0,0.0,0.0,56.76354217529297,0,
2026-07-04_03-25-08.mp4,12,0,0,0.0,0.0,0.0,36.950828552246094,0,
2026-07-01_00-36-08.mp4,12,0,0,0.0,0.0,0.0,46.929901123046875,0,
2026-07-11_23-38-24.mp4,12,0,0,0.0,0.0,0.0,51.01054000854492,0,
2026-07-01_06-38-41.mp4,12,0,0,0.0,0.0,0.0,240.2863006591797,0,
2026-07-05_00-08-13.mp4,12,0,0,0.0,0.0,0.0,23.819669723510742,0,
2026-07-13_18-26-01.mp4,12,0,0,0.0,0.0,0.0,45.513755798339844,0,
2026-07-25_17-58-23.mp4,12,0,0,0.0,0.0,0.0,57.220375061035156,0,
2026-07-05_17-27-18.mp4,12,0,0,0.0,0.0,0.0,71.31256103515625,0,
2026-07-05_00-08-01.mp4,12,1,0,0.15927602728474777,0.15927602728474777,0.0,31.190380096435547,0,
2026-07-18_11-47-40.mp4,12,0,0,0.0,0.0,0.0,25.087989807128906,0,
2026-07-14_22-41-44.mp4,12,0,0,0.0,0.0,0.0,81.18997955322266,0,
2026-07-15_23-34-17.mp4,12,0,0,0.0,0.0,0.0,43.888938903808594,0,
2026-07-05_08-24-16.mp4,12,0,0,0.0,0.0,0.0,93.86737060546875,0,
2026-06-30_12-45-31.mp4,12,0,0,0.0,0.0,0.0,37.7576904296875,0,
2026-07-08_00-07-17.mp4,12,2,1,0.19773338201337828,0.15871615843722564,0.0,25.398284912109375,1,
2026-07-14_20-16-54.mp4,12,1,1,0.20301215823554208,0.20301215823554208,1.0,68.55174255371094,1,
2026-07-24_02-22-48.mp4,12,1,1,0.3113115235120575,0.3113115235120575,0.0,20.938051223754883,1,
2026-07-15_16-42-15.mp4,12,0,0,0.0,0.0,0.0,143.8535614013672,0,
2026-07-05_10-10-15.mp4,12,0,0,0.0,0.0,0.0,58.210018157958984,0,
2026-07-12_16-07-47.mp4,12,0,0,0.0,0.0,0.0,191.3056640625,0,
2026-07-13_07-22-54.mp4,12,0,0,0.0,0.0,0.0,144.50303649902344,0,
2026-07-09_20-29-03.mp4,12,0,0,0.0,0.0,0.0,14.46262264251709,0,
2026-07-09_18-50-41.mp4,12,0,0,0.0,0.0,0.0,62.6197624206543,0,
2026-07-01_12-38-18.mp4,12,0,0,0.0,0.0,0.0,91.84595489501953,0,
2026-07-18_11-47-52.mp4,12,0,0,0.0,0.0,0.0,31.148468017578125,0,
2026-07-22_22-40-16.mp4,12,3,3,0.4796112310117534,0.4694152536609833,0.0,27.377758026123047,1,
2026-07-10_05-35-55.mp4,12,3,3,0.3119493115931099,0.28073822328907394,0.0,63.18452835083008,1,
2026-07-05_17-34-12.mp4,12,0,0,0.0,0.0,0.0,31.730791091918945,0,
2026-07-07_21-30-06.mp4,12,0,0,0.0,0.0,0.0,167.21495056152344,0,
2026-07-06_15-37-00.mp4,12,0,0,0.0,0.0,0.0,23.418750762939453,0,
2026-07-10_05-19-25.mp4,12,1,1,0.3391313207347813,0.3391313207347813,0.0,89.20891571044922,1,
2026-07-11_01-18-40.mp4,12,0,0,0.0,0.0,0.0,97.88382720947266,0,
2026-07-01_09-46-06.mp4,12,2,1,0.2628505899392857,0.19675243720881175,0.0,41.28584671020508,1,
2026-07-14_22-46-08.mp4,12,0,0,0.0,0.0,0.0,83.66500854492188,0,
2026-07-11_08-46-11.mp4,12,0,0,0.0,0.0,0.0,43.41709518432617,0,
2026-07-06_23-22-05.mp4,12,0,0,0.0,0.0,0.0,29.87735939025879,0,
2026-07-19_00-25-26.mp4,12,0,0,0.0,0.0,0.0,29.7890625,0,
2026-07-20_04-27-03.mp4,12,2,2,0.4161484226335292,0.401672937661871,0.0,87.32441711425781,1,
2026-07-22_20-02-43.mp4,12,0,0,0.0,0.0,0.0,52.820865631103516,0,
2026-07-08_19-02-45.mp4,12,0,0,0.0,0.0,0.0,44.72466278076172,0,
2026-07-05_09-25-45.mp4,12,0,0,0.0,0.0,0.0,54.52196502685547,0,
2026-07-06_20-14-17.mp4,12,0,0,0.0,0.0,0.0,24.717187881469727,0,
2026-07-03_22-52-58.mp4,12,0,0,0.0,0.0,0.0,22.375551223754883,0,
2026-07-15_23-41-27.mp4,12,2,1,0.47050080639781605,0.3076754049801204,1.0,33.616146087646484,1,
2026-07-05_15-50-58.mp4,12,0,0,0.0,0.0,0.0,47.96112060546875,0,
2026-07-16_15-54-33.mp4,12,1,1,0.20829490503107817,0.20829490503107817,0.0,85.00094604492188,1,
2026-07-22_16-56-27.mp4,12,1,1,0.2448522123893571,0.2448522123893571,0.0,66.58915710449219,1,
2026-07-03_12-03-37.mp4,12,0,0,0.0,0.0,0.0,114.37279510498047,0,
2026-07-14_22-41-56.mp4,12,0,0,0.0,0.0,0.0,31.37729835510254,0,
2026-07-04_15-02-29.mp4,12,0,0,0.0,0.0,0.0,33.34788513183594,0,
2026-07-06_15-36-36.mp4,12,0,0,0.0,0.0,0.0,56.810997009277344,0,
2026-06-30_08-31-45.mp4,12,0,0,0.0,0.0,0.0,67.29044342041016,0,
2026-07-23_17-58-49.mp4,12,0,0,0.0,0.0,0.0,146.3411102294922,0,
2026-07-22_00-41-41.mp4,12,0,0,0.0,0.0,0.0,61.780086517333984,0,
2026-07-07_17-25-01.mp4,12,3,3,0.40226255045357556,0.3849478774750341,1.0,30.681371688842773,1,
2026-07-23_17-11-22.mp4,12,0,0,0.0,0.0,0.0,62.97141647338867,0,
2026-07-10_16-33-59.mp4,12,0,0,0.0,0.0,0.0,13.6243257522583,0,
2026-07-07_21-16-18.mp4,12,0,0,0.0,0.0,0.0,33.33713150024414,0,
2026-07-14_22-53-32.mp4,12,0,0,0.0,0.0,0.0,34.2787971496582,0,
2026-07-14_04-51-43.mp4,12,0,0,0.0,0.0,0.0,33.24834442138672,0,
2026-07-08_17-29-05.mp4,12,0,0,0.0,0.0,0.0,35.19145202636719,0,
2026-07-09_20-04-09.mp4,12,2,2,0.258968045081278,0.24951533327456224,0.5,25.539369583129883,1,
2026-07-05_09-26-57.mp4,12,1,1,0.4617378105082697,0.4617378105082697,0.0,87.39469909667969,1,
2026-07-14_06-18-19.mp4,12,0,0,0.0,0.0,0.0,21.964582443237305,0,
2026-07-22_22-40-28.mp4,12,5,5,0.5353604192006302,0.48698580360131116,0.0,18.70732307434082,1,
2026-07-08_19-33-56.mp4,12,1,1,0.18051661904397634,0.18051661904397634,0.0,41.19865036010742,1,
2026-07-22_22-35-46.mp4,12,0,0,0.0,0.0,0.0,32.795772552490234,0,
