file,n_frames,face_frac,nose_lapvar,p_covered,p_visible,p_away,nose_covered_score,label_nose_covered,error
2026-07-18_03-15-51.mp4,12,0.0,,0.2467484474182129,0.6179367899894714,0.13531477749347687,0.2467484474182129,0,
2026-07-21_23-59-05.mp4,12,0.0,,0.32957756519317627,0.5562118887901306,0.1142105832695961,0.32957756519317627,1,
2026-07-07_20-52-18.mp4,12,0.0,,0.42512640357017517,0.5342402458190918,0.04063331335783005,0.42512640357017517,1,
2026-07-11_10-46-16.mp4,12,0.0,,0.33706939220428467,0.6072084903717041,0.05572214722633362,0.33706939220428467,1,
2026-07-02_18-28-08.mp4,12,0.0,,0.1731187105178833,0.75235515832901,0.07452621310949326,0.1731187105178833,0,
2026-07-04_15-25-25.mp4,12,0.0,,0.25942251086235046,0.6378716230392456,0.1027059406042099,0.25942251086235046,1,
2026-07-06_11-18-17.mp4,12,0.0,,0.21994882822036743,0.7268939018249512,0.05315724015235901,0.21994882822036743,0,
2026-07-13_10-44-07.mp4,12,0.0,,0.2536618113517761,0.6084591150283813,0.13787910342216492,0.2536618113517761,1,
2026-07-15_18-43-49.mp4,12,0.0,,0.3216637074947357,0.6021657586097717,0.07617053389549255,0.3216637074947357,1,
2026-07-03_20-05-24.mp4,12,0.0,,0.35012611746788025,0.5871742963790894,0.06269954890012741,0.35012611746788025,1,
2026-07-02_14-21-40.mp4,12,0.0,,0.21035641431808472,0.5582299828529358,0.23141361773014069,0.21035641431808472,0,
2026-07-24_09-05-02.mp4,12,0.0,,0.3563096821308136,0.5032168030738831,0.14047351479530334,0.3563096821308136,1,
2026-07-04_11-27-03.mp4,12,0.0,,0.18370336294174194,0.74146968126297,0.07482696324586868,0.18370336294174194,0,
2026-07-03_21-39-11.mp4,12,0.0,,0.4061547815799713,0.5214705467224121,0.07237470149993896,0.4061547815799713,1,
2026-07-09_07-36-17.mp4,12,0.0,,0.19914959371089935,0.761420488357544,0.039429910480976105,0.19914959371089935,0,
2026-07-08_07-36-22.mp4,12,0.0,,0.20039168000221252,0.6716728210449219,0.127935528755188,0.20039168000221252,0,
2026-07-11_10-58-46.mp4,12,0.0,,0.32828304171562195,0.6246863603591919,0.04703061655163765,0.32828304171562195,1,
2026-07-14_14-57-37.mp4,12,0.0,,0.29169413447380066,0.547046959400177,0.16125895082950592,0.29169413447380066,1,
2026-07-06_18-30-24.mp4,12,0.0,,0.29836276173591614,0.5167678594589233,0.18486937880516052,0.29836276173591614,1,
2026-07-04_08-43-52.mp4,12,0.0,,0.3482612371444702,0.5122809410095215,0.1394578516483307,0.3482612371444702,1,
2026-07-01_13-47-17.mp4,12,0.0,,0.24636824429035187,0.40700799226760864,0.34662380814552307,0.24636824429035187,0,
2026-07-04_14-38-54.mp4,12,0.0,,0.5528854727745056,0.36141711473464966,0.08569739758968353,0.5528854727745056,1,
2026-07-05_11-14-39.mp4,12,0.0,,0.22574296593666077,0.6710633039474487,0.1031937524676323,0.22574296593666077,0,
2026-07-21_14-07-06.mp4,12,0.0,,0.36614683270454407,0.2774115800857544,0.3564416170120239,0.36614683270454407,1,
2026-07-02_18-39-38.mp4,12,0.0,,0.23024286329746246,0.6082337498664856,0.16152343153953552,0.23024286329746246,0,
2026-07-08_19-30-32.mp4,12,0.0,,0.5176801085472107,0.4140019714832306,0.06831791251897812,0.5176801085472107,1,
2026-07-21_15-21-23.mp4,12,0.0,,0.33549764752388,0.536838948726654,0.1276634931564331,0.33549764752388,1,
2026-07-14_13-43-38.mp4,12,0.0,,0.32884275913238525,0.45935699343681335,0.21180033683776855,0.32884275913238525,1,
2026-07-04_11-24-27.mp4,12,0.0,,0.2600325047969818,0.6010914444923401,0.1388760507106781,0.2600325047969818,1,
2026-07-08_00-02-05.mp4,12,0.0,,0.2774710953235626,0.5760719180107117,0.14645697176456451,0.2774710953235626,1,
2026-07-15_13-47-22.mp4,12,0.0,,0.3068479895591736,0.5313665866851807,0.16178542375564575,0.3068479895591736,1,
2026-07-09_14-16-30.mp4,12,0.0,,0.6992931365966797,0.26364853978157043,0.03705837205052376,0.6992931365966797,1,
2026-07-03_23-37-58.mp4,12,0.0,,0.3867504894733429,0.4763513207435608,0.1368982195854187,0.3867504894733429,1,
2026-07-26_04-03-05.mp4,12,0.0,,0.41638922691345215,0.4929758310317993,0.09063493460416794,0.41638922691345215,1,
2026-07-09_16-29-05.mp4,12,0.0,,0.5469358563423157,0.3724571764469147,0.08060693740844727,0.5469358563423157,1,
2026-07-21_10-11-08.mp4,12,0.0,,0.19115391373634338,0.7299549579620361,0.07889112085103989,0.19115391373634338,0,
2026-07-03_15-19-59.mp4,12,0.0,,0.23891183733940125,0.5137540698051453,0.2473340779542923,0.23891183733940125,0,
2026-07-21_11-15-56.mp4,12,0.0,,0.21773916482925415,0.478339821100235,0.30392107367515564,0.21773916482925415,0,
2026-07-14_11-13-40.mp4,12,0.0,,0.19566605985164642,0.6603003740310669,0.14403364062309265,0.19566605985164642,0,
