file,cry_prob,cry_any_prob,face_rate,mouth_open_max,eye_open_min,label_crying,error
2026-07-18_03-15-51.mp4,0.07662385702133179,0.16682277619838715,0.0,0.0,1.0,0,
2026-07-21_23-59-05.mp4,0.0003177625185344368,0.0008271674159914255,0.0,0.0,1.0,0,
2026-07-07_20-52-18.mp4,0.000971063447650522,0.006710359361022711,0.0,0.0,1.0,0,
2026-07-11_10-46-16.mp4,0.00046141797793097794,0.0016162312822416425,0.0,0.0,1.0,0,
2026-07-02_18-28-08.mp4,0.00017958103853743523,0.0007924432284198701,0.0,0.0,1.0,0,
2026-07-04_15-25-25.mp4,0.0002684838545974344,0.0013052001595497131,0.0,0.0,1.0,0,
2026-07-06_11-18-17.mp4,0.0002150463842554018,0.0009149919496849179,0.0,0.0,1.0,0,
2026-07-13_10-44-07.mp4,0.00022823928156867623,0.0012022600276395679,0.0,0.0,1.0,0,
2026-07-15_18-43-49.mp4,0.0004890261916443706,0.0014147155452519655,0.0,0.0,1.0,0,
2026-07-03_20-05-24.mp4,0.0002678720047697425,0.001324870390817523,0.0,0.0,1.0,0,
2026-07-02_14-21-40.mp4,0.0004245117015670985,0.0013434374704957008,0.0,0.0,1.0,0,
2026-07-24_09-05-02.mp4,0.43432074785232544,0.45409372448921204,0.0,0.0,1.0,0,
2026-07-04_11-27-03.mp4,8.181573502952233e-05,0.0006974389543756843,0.0,0.0,1.0,0,
2026-07-03_21-39-11.mp4,0.0001862309145508334,0.0007227629539556801,0.0,0.0,1.0,0,
2026-07-09_07-36-17.mp4,7.947055564727634e-05,0.0005373537424020469,0.0,0.0,1.0,0,
2026-07-08_07-36-22.mp4,0.000348960718838498,0.0017060100799426436,0.0,0.0,1.0,0,
2026-07-11_10-58-46.mp4,0.00033708629780448973,0.0018213893054053187,0.0,0.0,1.0,0,
2026-07-14_14-57-37.mp4,0.0007057286566123366,0.002122253179550171,0.0,0.0,1.0,0,
2026-07-06_18-30-24.mp4,0.0004812550323549658,0.0017856761114671826,0.0,0.0,1.0,0,
2026-07-04_08-43-52.mp4,0.00041497740312479436,0.0019622263498604298,0.0,0.0,1.0,0,
2026-07-01_13-47-17.mp4,0.00043342195567674935,0.0006566037191078067,0.0,0.0,1.0,0,
2026-07-04_14-38-54.mp4,0.00021619829931296408,0.0014246079372242093,0.0,0.0,1.0,0,
2026-07-05_11-14-39.mp4,0.0008611824596300721,0.0061095720157027245,0.0,0.0,1.0,0,
2026-07-21_14-07-06.mp4,0.00048426477587781847,0.002051153453066945,0.0,0.0,1.0,0,
2026-07-02_18-39-38.mp4,0.00057360710343346,0.003575977636501193,0.0,0.0,1.0,0,
2026-07-08_19-30-32.mp4,0.00046276170178316534,0.0014312874991446733,0.0,0.0,1.0,0,
2026-07-21_15-21-23.mp4,0.00034542192588560283,0.0017703663324937224,0.0,0.0,1.0,0,
2026-07-14_13-43-38.mp4,0.0008111904608085752,0.003488430054858327,0.0,0.0,1.0,0,
2026-07-04_11-24-27.mp4,0.00015348655870184302,0.0013209154130890965,0.0,0.0,1.0,0,
2026-07-08_00-02-05.mp4,0.0006034186226315796,0.0032959890086203814,0.0,0.0,1.0,0,
2026-07-15_13-47-22.mp4,0.0006762970588169992,0.0028125259559601545,0.0,0.0,1.0,0,
2026-07-09_14-16-30.mp4,0.0001357227738481015,0.0010801578173413873,0.0,0.0,1.0,0,
2026-07-03_23-37-58.mp4,0.00017803366063162684,0.0009082980686798692,0.0,0.0,1.0,0,
2026-07-26_04-03-05.mp4,0.0004036475729662925,0.002134519163519144,0.0,0.0,1.0,0,
2026-07-09_16-29-05.mp4,0.0004572102043312043,0.0032637102995067835,0.0,0.0,1.0,0,
2026-07-21_10-11-08.mp4,0.0001429082767572254,0.0004529209982138127,0.0,0.0,1.0,0,
2026-07-03_15-19-59.mp4,0.00014351650315802544,0.0005086176097393036,0.0,0.0,1.0,0,
2026-07-21_11-15-56.mp4,0.0015306482091546059,0.012807485647499561,0.0,0.0,1.0,0,
2026-07-14_11-13-40.mp4,0.00033911390346474946,0.0015399716794490814,0.0,0.0,1.0,0,
2026-07-18_15-37-50.mp4,0.00029899514629505575,0.001046259654685855,0.0,0.0,1.0,0,
2026-07-07_23-43-53.mp4,0.030286099761724472,0.10286463052034378,0.0,0.0,1.0,0,
2026-07-03_03-29-48.mp4,0.0003587012179195881,0.0008038139785639942,0.0,0.0,1.0,0,
2026-07-07_02-58-34.mp4,0.00011823333625216037,0.0009305403800681233,0.0,0.0,1.0,0,
2026-07-24_22-36-41.mp4,0.00024727507843635976,0.0011722411727532744,0.0,0.0,1.0,0,
2026-07-02_07-07-33.mp4,0.000592757947742939,0.002937104320153594,0.0,0.0,1.0,0,
2026-07-21_01-27-08.mp4,0.000691685825586319,0.0026729321107268333,0.0,0.0,1.0,0,
2026-07-09_23-39-23.mp4,0.0008398802601732314,0.0022142152301967144,0.0,0.0,1.0,0,
2026-07-03_17-30-29.mp4,0.0003798857796937227,0.0022766643669456244,0.0,0.0,1.0,0,
2026-07-07_05-36-56.mp4,0.0003077791479881853,0.0031739904079586267,0.0,0.0,1.0,0,
2026-07-06_00-38-42.mp4,0.0026504579000175,0.014998890459537506,0.0,0.0,1.0,0,
2026-07-19_14-44-25.mp4,0.0004117907665204257,0.001601340831257403,0.0,0.0,1.0,0,
2026-07-05_19-03-42.mp4,0.0017343375366181135,0.005712825804948807,0.0,0.0,1.0,0,
