file,present_frac,move_mean,move_frac,move_curve,wrist_vis_frac,hands_up_frac
2026-07-09_14-38-18.mp4,0.0,0.0066,0.0,"[0.0158, 0.0109, 0.0004, 0.0027, 0.0003, 0.0136, 0.0107, 0.0017]",0.0,0.0
2026-07-15_20-38-23.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_18-05-39.mp4,0.0,0.0111,0.0,"[0.0122, 0.015, 0.0144, 0.015, 0.0146, 0.0076, 0.0053, 0.0031]",0.0,0.0
2026-07-15_17-46-01.mp4,0.0,0.0224,0.2,"[0.075, 0.0141, 0.0168, 0.0243, 0.0]",0.0,0.0
2026-07-01_09-45-42.mp4,0.0,0.004,0.0,"[0.0089, 0.0029, 0.0004, 0.0034, 0.0, 0.0025, 0.0036, 0.0121]",0.0,0.0
2026-07-04_15-25-13.mp4,0.0,nan,,[],0.0,0.0
2026-07-25_23-40-02.mp4,0.0,0.0163,0.0,"[0.023, 0.0111, 0.0121, 0.0256, 0.0206, 0.0133, 0.0142, 0.0092]",0.0,0.0
2026-07-12_04-25-40.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_10-24-44.mp4,0.05,0.0149,0.0,"[0.0121, 0.0168, 0.0131, 0.02, 0.0146, 0.0164, 0.0122, 0.0134]",0.0,0.0
2026-07-13_19-37-49.mp4,0.0,nan,,[],0.0,0.0
2026-07-10_21-30-55.mp4,0.125,0.0336,0.375,"[0.0717, 0.0184, 0.0192, 0.0654, 0.0233, 0.0135, 0.0043, 0.0581]",0.0,0.0
2026-07-07_12-30-22.mp4,0.0,0.083,0.875,"[0.058, 0.1723, 0.0201, 0.045, 0.0668, 0.0863, 0.1578, 0.0459]",0.0,0.0
2026-07-11_18-13-21.mp4,0.0,0.015,0.125,"[0.0108, 0.0062, 0.0054, 0.014, 0.0164, 0.0172, 0.045, 0.0062]",0.0,0.0
2026-07-08_13-50-43.mp4,0.0,0.049,0.625,"[0.0849, 0.0284, 0.0095, 0.0301, 0.0768, 0.0834, 0.0469, 0.0277]",0.0,0.0
2026-07-16_10-21-03.mp4,0.0,0.078,0.875,"[0.0547, 0.0961, 0.0461, 0.0171, 0.2126, 0.0851, 0.0531, 0.0543]",0.0,0.0
2026-07-26_01-40-30.mp4,0.0,0.02,0.25,"[0.0382, 0.0111, 0.0135, 0.0399, 0.0118, 0.0266, 0.0102, 0.0055]",0.0,0.0
2026-07-12_20-00-05.mp4,0.0,0.0038,0.0,"[0.0032, 0.0053]",0.0,0.0
2026-07-14_23-56-07.mp4,0.0,0.037,0.625,"[0.0424, 0.0387, 0.0165, 0.0234, 0.081, 0.0199, 0.0367, 0.0374]",0.025,0.0
2026-07-01_07-08-41.mp4,0.0,0.0066,0.0,"[0.0082, 0.0047, 0.0022, 0.0052, 0.0119, 0.0079, 0.0066, 0.0055]",0.0,0.0
2026-07-08_09-11-39.mp4,0.0,0.0264,0.0,[0.0264],0.0,0.0
2026-07-15_13-02-11.mp4,0.0,nan,,[],0.0,0.0
2026-07-25_23-41-44.mp4,0.0,0.015,0.125,"[0.0223, 0.0123, 0.0137, 0.0082, 0.01, 0.0072, 0.0054, 0.0468]",0.0,0.0
2026-07-18_19-56-35.mp4,0.05,0.0149,0.25,"[0.0139, 0.0361, 0.0038, 0.0085, 0.0038, 0.0045, 0.0391, 0.0083]",0.0,0.0
2026-07-11_17-21-30.mp4,0.0,0.0413,0.5,"[0.0437, 0.0069, 0.0055, 0.0073, 0.1697, 0.0312, 0.0216, 0.0689]",0.0,0.0
2026-07-11_23-39-00.mp4,0.0,nan,,[],0.0,0.0
2026-07-07_06-07-08.mp4,0.0,0.0486,0.875,"[0.0585, 0.0324, 0.0513, 0.0671, 0.0434, 0.0559, 0.0592, 0.0197]",0.0,0.0
2026-07-13_12-33-36.mp4,0.0,nan,,[],0.0,0.0
2026-07-10_21-01-55.mp4,0.0,0.0368,0.375,"[0.0588, 0.0118, 0.0031, 0.0203, 0.005, 0.0173, 0.0423, 0.1608]",0.0,0.0
2026-07-06_15-44-00.mp4,0.0,0.0358,0.75,"[0.0429, 0.0417, 0.0311, 0.015, 0.0166, 0.0321, 0.0304, 0.0765]",0.025,0.0
2026-07-06_03-19-10.mp4,0.0,0.0546,0.667,"[0.11, 0.055, 0.0375, 0.0557, 0.0109, 0.0113]",0.0,0.0
2026-07-01_18-02-35.mp4,0.0,nan,,[],0.0,0.0
2026-07-15_17-48-55.mp4,0.0,0.2065,1.0,"[0.2452, 0.3062, 0.2834, 0.1446, 0.1017, 0.3028, 0.1142, 0.1413]",0.075,0.05
2026-07-09_23-38-11.mp4,0.0,0.0826,1.0,"[0.0749, 0.0904]",0.0,0.0
2026-07-17_04-21-46.mp4,0.0,0.0145,0.125,"[0.041, 0.0212, 0.0088, 0.0138, 0.0059, 0.0051, 0.0088, 0.0104]",0.0,0.0
2026-07-25_23-40-14.mp4,0.0,0.0319,0.375,"[0.0282, 0.0424, 0.0573, 0.063, 0.0236, 0.0167, 0.0129, 0.0054]",0.0,0.0
2026-07-14_13-38-44.mp4,0.0,nan,,[],0.0,0.0
2026-07-07_03-02-52.mp4,0.0,nan,,[],0.0,0.0
2026-07-12_04-36-46.mp4,0.0,nan,,[],0.0,0.0
2026-07-08_14-04-54.mp4,0.0,0.033,0.5,"[0.0331, 0.0175, 0.0191, 0.0548, 0.0622, 0.0477, 0.0174, 0.0072]",0.0,0.0
2026-07-14_13-43-26.mp4,0.0,nan,,[],0.0,0.0
2026-07-22_11-57-58.mp4,0.0,0.0042,0.0,"[0.004, 0.0035, 0.004, 0.0047, 0.0031, 0.002, 0.0073, 0.0052]",0.0,0.0
2026-07-08_13-50-31.mp4,0.0,0.0407,0.714,"[0.038, 0.0313, 0.0329, 0.0243, 0.0713, 0.066, 0.0186]",0.0,0.0
2026-07-11_20-33-38.mp4,0.0,0.2722,1.0,[0.2722],0.0,0.0
2026-07-21_15-43-59.mp4,0.0,nan,,[],0.0,0.0
2026-07-16_20-24-45.mp4,0.0,0.0482,0.875,"[0.067, 0.071, 0.0516, 0.0532, 0.0412, 0.0437, 0.0314, 0.0207]",0.0,0.0
2026-07-08_08-48-22.mp4,0.0,nan,,[],0.0,0.0
2026-07-08_08-42-16.mp4,0.0,0.0095,0.0,"[0.0096, 0.0095]",0.0,0.0
2026-07-15_10-49-54.mp4,0.0,0.03,0.571,"[0.0301, 0.0091, 0.0337, 0.04, 0.0137, 0.0165, 0.0347]",0.0,0.0
2026-07-23_16-36-59.mp4,0.0,nan,,[],0.0,0.0
2026-07-07_22-37-54.mp4,0.0,0.0217,0.125,"[0.0072, 0.0061, 0.0083, 0.014, 0.0115, 0.059, 0.0195, 0.0243]",0.0,0.0
2026-07-20_11-29-02.mp4,0.0,0.0306,0.375,"[0.0731, 0.0371, 0.0377, 0.0294, 0.0038, 0.0226, 0.0239, 0.0138]",0.0,0.0
2026-07-07_05-36-56.mp4,0.0,0.0158,0.0,[0.0158],0.0,0.0
2026-07-07_18-56-31.mp4,0.0,0.0217,0.2,"[0.0259, 0.0097, 0.0095, 0.0226, 0.041]",0.0,0.0
2026-07-22_02-11-16.mp4,0.0,0.0149,0.125,"[0.0282, 0.0078, 0.0161, 0.0436, 0.0066, 0.0035, 0.0052, 0.0066]",0.0,0.0
2026-07-11_02-12-16.mp4,0.0,0.0314,0.429,"[0.0647, 0.0569, 0.0073, 0.0255, 0.0106, 0.0115, 0.049]",0.0,0.0
2026-07-11_17-42-24.mp4,0.0,0.0095,0.0,"[0.0155, 0.0012, 0.002, 0.0119, 0.0029, 0.0278, 0.0087, 0.007]",0.0,0.0
2026-07-25_17-42-53.mp4,0.0,nan,,[],0.0,0.0
2026-07-19_17-27-46.mp4,0.0,0.016,0.0,"[0.0227, 0.0112, 0.0073, 0.0177, 0.0254, 0.0246, 0.0164, 0.007]",0.0,0.0
2026-07-07_07-25-37.mp4,0.0,0.0392,0.5,"[0.0694, 0.0292, 0.0937, 0.04, 0.0099, 0.0144, 0.0316, 0.0216]",0.0,0.0
2026-07-08_12-13-14.mp4,0.0,0.0515,0.75,"[0.0923, 0.047, 0.0191, 0.0536, 0.0921, 0.0343, 0.0454, 0.0226]",0.0,0.0
2026-07-06_00-14-36.mp4,0.4,0.0462,0.5,"[0.0871, 0.0221, 0.0141, 0.0724, 0.0293, 0.0734, 0.0093, 0.0658]",0.0,0.0
2026-07-09_13-21-49.mp4,0.0,0.0269,0.286,"[0.0279, 0.0192, 0.027, 0.0368, 0.0228, 0.0182, 0.0325]",0.0,0.0
2026-07-14_14-04-26.mp4,0.0,0.0043,0.0,"[0.0057, 0.0047, 0.0043, 0.0079, 0.0072, 0.0027, 0.0, 0.005]",0.0,0.0
2026-07-07_05-54-50.mp4,0.0,0.0298,0.5,"[0.0714, 0.0106, 0.0133, 0.0104, 0.0216, 0.061, 0.0314, 0.0301]",0.0,0.0
2026-07-06_11-42-53.mp4,0.0,0.0131,0.143,"[0.0168, 0.0354, 0.0132, 0.0007, 0.0226, 0.0068, 0.0064]",0.375,0.0
2026-07-12_13-52-25.mp4,0.0,0.0045,0.0,"[0.0039, 0.0031, 0.0066, 0.0097, 0.0026, 0.0031, 0.0013, 0.0057]",0.0,0.0
2026-07-07_23-13-36.mp4,0.0,0.0141,0.125,"[0.0099, 0.0521, 0.0086, 0.0116, 0.0069, 0.0054, 0.0066, 0.0088]",0.0,0.0
2026-06-30_15-40-40.mp4,0.35,0.0694,0.875,"[0.0346, 0.0266, 0.0398, 0.1007, 0.0403, 0.0814, 0.0659, 0.1904]",0.5,0.0
2026-07-07_23-09-42.mp4,0.0,0.0318,0.6,"[0.0434, 0.0311, 0.0068, 0.0222, 0.0595]",0.0,0.0
2026-07-20_14-53-06.mp4,0.0,0.0286,0.125,"[0.0724, 0.0237, 0.0166, 0.0195, 0.0207, 0.0262, 0.021, 0.0284]",0.0,0.0
2026-07-21_11-19-49.mp4,0.0,0.0049,0.0,"[0.0087, 0.0027, 0.0067, 0.0038, 0.0045, 0.0036, 0.0015, 0.0083]",0.0,0.0
2026-07-06_03-19-22.mp4,0.0,0.0792,0.75,"[0.2797, 0.1018, 0.0406, 0.0488, 0.019, 0.0315, 0.0293, 0.0315]",0.0,0.0
2026-07-09_15-06-12.mp4,0.0,nan,,[],0.0,0.0
2026-07-17_20-56-01.mp4,0.0,0.0182,0.375,"[0.005, 0.0343, 0.0397, 0.0343, 0.0107, 0.0037, 0.0121, 0.0023]",0.0,0.0
2026-07-14_19-40-55.mp4,0.0,nan,,[],0.0,0.0
2026-07-17_04-54-04.mp4,0.0,0.021,0.125,"[0.0286, 0.0244, 0.0079, 0.0106, 0.0209, 0.0463, 0.0179, 0.0095]",0.0,0.0
2026-07-08_12-16-32.mp4,0.0,0.0846,0.875,"[0.0325, 0.1022, 0.0201, 0.0504, 0.097, 0.0533, 0.2186, 0.107]",0.0,0.0
2026-07-06_15-35-18.mp4,0.0,0.0063,0.0,"[0.0044, 0.0011, 0.0102, 0.0093]",0.0,0.0
2026-07-15_22-33-07.mp4,0.0,0.0099,0.0,"[0.0111, 0.0119, 0.0191, 0.0204, 0.005, 0.0041, 0.0052, 0.0003]",0.0,0.0
2026-07-01_02-51-34.mp4,0.0,nan,,[],0.0,0.0
2026-07-15_13-41-52.mp4,0.0,nan,,[],0.0,0.0
2026-07-18_21-58-46.mp4,0.0,0.0154,0.0,"[0.0122, 0.0202, 0.0143, 0.0135]",0.0,0.0
2026-07-14_23-17-55.mp4,0.0,0.0062,0.0,"[0.0166, 0.0072, 0.0065, 0.0051, 0.0038, 0.0045, 0.0028, 0.002]",0.0,0.0
2026-07-20_15-00-24.mp4,0.0,0.0249,0.25,"[0.0417, 0.0115, 0.022, 0.0211, 0.0194, 0.0209, 0.0299, 0.0344]",0.0,0.0
2026-07-23_07-53-22.mp4,0.0,0.0274,0.25,"[0.0202, 0.0101, 0.0098, 0.0389, 0.0886, 0.0297, 0.0083, 0.0101]",0.0,0.0
2026-07-16_10-17-03.mp4,0.0,0.044,0.625,"[0.0744, 0.064, 0.0282, 0.0659, 0.0057, 0.0375, 0.0224, 0.0563]",0.0,0.0
2026-07-25_17-49-47.mp4,0.0,0.0173,0.0,"[0.0109, 0.018, 0.0283, 0.0185, 0.0048, 0.017, 0.0169, 0.026]",0.0,0.0
2026-07-26_04-26-11.mp4,0.0,0.088,0.875,"[0.0638, 0.0874, 0.0165, 0.0836, 0.114, 0.0708, 0.1018, 0.1859]",0.0,0.0
2026-07-23_15-09-59.mp4,0.0,0.0323,1.0,[0.0323],0.0,0.0
2026-07-20_14-45-06.mp4,0.0,0.0352,0.625,"[0.0402, 0.0515, 0.0502, 0.0219, 0.023, 0.0311, 0.0298, 0.0335]",0.0,0.0
2026-07-24_04-37-41.mp4,0.0,0.0078,0.0,"[0.0106, 0.0127, 0.0, 0.0044, 0.0]",0.2,0.125
2026-07-06_00-20-06.mp4,0.441,0.0424,0.714,"[0.0752, 0.0427, 0.026, 0.0362, 0.027, 0.0434, 0.0486]",0.235,0.0
2026-07-08_13-27-31.mp4,0.0,nan,,[],0.0,0.0
2026-07-08_12-18-32.mp4,0.0,0.0435,0.75,"[0.0586, 0.0355, 0.0214, 0.0361, 0.0318, 0.0965, 0.0293, 0.0376]",0.0,0.0
2026-07-12_01-40-18.mp4,0.0,nan,,[],0.0,0.0
2026-06-30_13-08-55.mp4,0.0,nan,,[],0.0,0.0
2026-07-09_00-19-09.mp4,0.0,nan,,[],0.0,0.0
2026-07-14_00-52-45.mp4,0.0,0.0114,0.0,"[0.0058, 0.006, 0.0142, 0.0163]",0.0,0.0
2026-07-22_13-34-44.mp4,0.0,0.0039,0.0,"[0.0, 0.0058, 0.0, 0.0119]",0.0,0.0
2026-07-08_08-33-28.mp4,0.0,0.0271,0.4,"[0.032, 0.0145, 0.0205, 0.0489, 0.0146]",0.0,0.0
2026-07-14_13-53-50.mp4,0.0,nan,,[],0.0,0.0
2026-07-09_11-08-56.mp4,0.0,0.0402,0.625,"[0.0332, 0.0354, 0.0737, 0.0366, 0.0949, 0.0271, 0.0058, 0.0089]",0.0,0.0
2026-07-07_23-56-11.mp4,0.225,0.0415,0.5,"[0.0225, 0.0216, 0.0668, 0.0457, 0.0587, 0.0167, 0.0179, 0.0919]",0.0,0.0
2026-07-19_18-26-21.mp4,0.0,0.0191,0.25,"[0.0237, 0.0303, 0.014, 0.0049, 0.0013, 0.0253, 0.0237, 0.0324]",0.0,0.0
2026-07-15_12-57-59.mp4,0.0,nan,,[],0.0,0.0
2026-07-15_08-50-32.mp4,0.0,0.0067,0.0,"[0.0258, 0.0075, 0.0048, 0.0032, 0.0039, 0.0018, 0.0028, 0.0034]",0.0,0.0
2026-07-13_18-48-31.mp4,0.0,0.118,0.833,"[0.1514, 0.064, 0.0401, 0.0249, 0.0413, 0.8062]",0.0,0.0
2026-07-23_09-05-09.mp4,0.0,0.0102,0.0,"[0.0265, 0.0065, 0.0085, 0.0108, 0.0016, 0.0085, 0.0097, 0.0096]",0.05,0.05
2026-07-08_10-42-15.mp4,0.0,0.0416,0.625,"[0.02, 0.0183, 0.0337, 0.0578, 0.0162, 0.0365, 0.0337, 0.1349]",0.0,0.0
2026-07-12_11-50-30.mp4,0.0,0.0158,0.0,"[0.0219, 0.0114, 0.0196, 0.0129, 0.012, 0.01, 0.0199, 0.021]",0.0,0.0
2026-07-15_13-15-35.mp4,0.0,nan,,[],0.0,0.0
2026-07-13_12-39-06.mp4,0.0,nan,,[],0.0,0.0
2026-07-08_10-51-38.mp4,0.0,0.0339,0.5,"[0.0728, 0.0307, 0.0727, 0.0358, 0.0053, 0.0204, 0.0137, 0.0161]",0.0,0.0
2026-07-23_08-48-45.mp4,0.0,0.0183,0.125,"[0.0353, 0.026, 0.0085, 0.0202, 0.0097, 0.0149, 0.0124, 0.0192]",0.0,0.0
