epoch,train_loss,validation_loss,mAP50
1,6.536836306254069,218.33703023910522,0.0
2,5.029329200585683,8.138545770645141,0.2276595744680851
3,4.439963926871617,6.41548373222351,0.32978723404255317
4,3.9775662620862327,8.076572122573852,0.5677639498303799
5,3.6557951470216117,11.20560845375061,0.0
6,3.4151654044787088,4.456417584419251,0.7487575204045742
7,3.411784052848816,4.703252649307251,0.8006439027376961
8,3.1175060272216797,3.6778242588043213,0.8803070980099756
9,3.0470535258452096,3.381839804649353,0.9009666826859086
10,3.0201721290747323,3.7019253969192505,0.7193164629950103
11,3.0034014185269675,3.6947956538200377,0.8807565910342372
12,2.867759188016256,4.923301467895508,0.8731022002937125
13,2.755382219950358,3.1652847027778623,0.8956655038713007
14,2.704757104317347,3.0366275978088377,0.8036019175203573
15,2.708545664946238,2.8347962307929992,0.817239498090562
16,2.7047250668207803,3.076099135875702,0.7927256680045397
17,2.689460645119349,3.08409991979599,0.8883855859466566
18,2.6198781927426658,3.1381603360176085,0.8632973787868194
19,2.5216541488965354,3.7936218333244325,0.895865244249721
20,2.556699057420095,2.968541188240051,0.8004586353629488
21,2.394590045015017,2.827586636543274,0.8609297390466306
22,2.394906163215637,2.8485286402702332,0.8803414507496072
23,2.3830718994140625,3.6564873933792112,0.8244565534529369
24,2.4379634261131287,2.7144700026512147,0.7863826719231772
25,2.3681530952453613,2.854751888513565,0.856003113597967
26,2.2861585120360055,3.155363929271698,0.8821642479776058
27,2.312147373954455,3.354683032035828,0.7414509265640457
28,2.326113075017929,3.234695568084717,0.7862914117703081
29,2.25850618382295,2.646384539604187,0.8561369353125101
30,2.2410462548335395,2.80577045917511,0.8802698534130623
31,2.1469719211260476,2.681558895111084,0.8436439998320813
32,2.171811838944753,2.5685296034812928,0.864656437546559
33,2.1420971900224686,2.8401399564743044,0.7829787234042553
34,2.2423061480124793,3.868686282634735,0.8167600835931744
35,2.1593373815218606,2.844096643924713,0.8944204947023267
36,2.1049588372310004,2.987796721458435,0.8931138923288937
37,2.039325480659803,2.555300416946411,0.8575173622899162
38,2.0520353813966117,2.6469906401634216,0.872761326401777
39,2.1066258947054544,2.989804918766022,0.8485034629270156
40,2.040556197365125,2.7001389861106873,0.839647119875454
41,2.0493889451026917,2.6173874163627624,0.8980707425523735
42,2.123384321729342,3.235437309741974,0.8414669077869006
43,2.0648135046164193,2.880097686052322,0.8704398459037253
44,2.0309304147958755,2.7162261176109315,0.8385250426345834
45,1.9767123361428578,2.7919905197620394,0.9076417565195973
46,2.007765347758929,2.6535146331787107,0.8592220554673622
47,1.9915193915367126,2.7788039159774782,0.8726976969749511
48,1.9554773966471355,2.764909689426422,0.782818056637718
49,2.0062791804472604,2.8953904247283937,0.8416925095278173
50,1.947331115603447,2.9080709624290466,0.8247907612207463
51,1.9054382642110188,2.940288426876068,0.8877863416580394
52,1.9703570852677028,2.8762969541549683,0.8047401735245762
53,1.8496889968713124,2.6702719783782958,0.8814455569461828
54,1.8745434284210205,2.7263607788085937,0.9101900069173139
55,1.793477828303973,2.7456809306144714,0.7868085106382979
56,1.850567360719045,2.9882924008369445,0.8186399138942715
57,1.854381874203682,2.6767694187164306,0.7961800470899015
58,1.8236901213725407,2.6761043429374696,0.8372681191830128
59,1.8675856093565624,3.030539481639862,0.7872340425531915
60,1.8913443336884181,2.720394879579544,0.8159640339898556
